Species,Order,Brain_area,Num_an,Source,Mass_SD,N_neurons_SD,N_other_SD,Neurons_per_mg_SD,Other_per_mg_SD,Other_per_neuron_SD
Elephantulusmyurus,Afrotheria,olf_bulb,2,"Nevesetal.,2014",0.01,"1,745,000",NA,"5,708",NA,NA
Giraffacamelopardalensis,Artiodactyla,cerebellum,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Giraffacamelopardalensis,Artiodactyla,rest_of_brain,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Giraffacamelopardalensis,Artiodactyla,cerebral_ctx,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Giraffacamelopardalensis,Artiodactyla,olf_bulb,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Gorillagorilla,Primata,cerebellum,NA,"Herculano-HouzelandKaas,2011",NA,NA,NA,NA,NA,NA
Heterocephalusglaber,Glires,cerebellum,3,"Herculano-Houzeletal.,2011",0.004,"2,849,254","1,274,352","48,331","32,952",0.106
Heterocephalusglaber,Glires,rest_of_brain,3,"Herculano-Houzeletal.,2011",0.019,"853,026","1,843,572","8,484","3,790",NA
Heterocephalusglaber,Glires,cerebral_ctx,3,"Herculano-Houzeletal.,2011",0.026,"1,065,587","1,197,056","2,063","11,497",0.125
Heterocephalusglaber,Glires,olf_bulb,3,"Herculano-Houzeletal.,2011",0.001,"636,099","1,548,861","22,957","62,442",0.254
Homosapiens,Primata,rest_of_brain,NA,"Azevedoetal.,2009",45.42,"120,000,000","1,450,000,000","2,115","20,026",2.352
Homosapiens,Primata,cerebellum,NA,"Azevedoetal.,2009",19.29,"6,650,000,000","2,170,000","90,393","19,800",0.019
Homosapiens,Primata,cerebral_ctx,NA,"Azevedoetal.,2009",233.68,"2,170,000,000","7,020,000,000","3,636","3,755",0.675
Hydrochoerushydrochaeris,Glires,cerebellum,NA,"Herculano-Houzeletal.,2006",1.312,"5,515,433","81,105,148","34,889","4,902",0.068
Hydrochoerushydrochaeris,Glires,rest_of_brain,NA,"Herculano-Houzeletal.,2006",0.27,"4,400,000","381,900,000",NA,NA,NA
Hydrochoerushydrochaeris,Glires,cerebral_ctx,NA,"Herculano-Houzeletal.,2006",2.714,"62,726,120","512,392,109",945,"8,489",0.447
"Hydrochoerushydrochaeris,n=2",Glires,olf_bulb,NA,"Herculano-Houzeletal.,2006",0.031,"8,515,588","21,015,416","6,018","17,981",0.18
Loxodontaafricana,Afrotheria,rest_of_brain,1,"Herculano-Houzeletal.,2014",NA,NA,NA,NA,NA,NA
Loxodontaafricana,Afrotheria,cerebellum,1,"Herculano-Houzeletal.,2014",NA,NA,NA,NA,NA,NA
Loxodontaafricana,Afrotheria,cerebral_ctx,1,"Herculano-Houzeletal.,2014",NA,NA,NA,NA,NA,NA
Loxodontaafricana,Afrotheria,olf_bulb,1,"Herculano-Houzeletal.,2014",NA,NA,NA,NA,NA,NA
Macacafascicularis,Primata,rest_of_brain,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Macacafascicularis,Primata,cerebellum,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Macacafascicularis,Primata,cerebral_ctx,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Macacamulatta,Primata,cerebellum,NA,"Herculano-Houzeletal.,2007",NA,NA,NA,NA,NA,NA
Macacamulatta,Primata,rest_of_brain,NA,"Herculano-Houzeletal.,2007",0.871,NA,NA,NA,NA,NA
Macacamulatta,Primata,cerebral_ctx,NA,"Herculano-Houzeletal.,2007",NA,NA,NA,NA,NA,NA
"Macacamulatta,n=1",Primata,olf_bulb,NA,"Ribeiroetal.,2014",NA,NA,NA,NA,NA,NA
Macacaradiata,Primata,cerebellum,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Macacaradiata,Primata,rest_of_brain,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Macacaradiata,Primata,cerebral_ctx,NA,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
