Species,Population,Name,Sex,Age,Subject #,Warmups,Test % Correct,1st Half % Correct,2nd Half % Correct
Swamp sparrow,Duke University,sw643,F,unkown,11,4,0,0,0
Swamp sparrow,Duke University,sw642,F,unkown,12,4,40,40,40
Swamp sparrow,Duke University,sw655,F,unkown,13,4,60,40,80
Swamp sparrow,Duke University,sw650,F,unkown,14,4,70,60,80
Swamp sparrow,Duke University,sw646,F,unkown,15,4,20,20,20
Swamp sparrow,Duke University,sw657,F,unkown,16,4,0,0,0
Swamp sparrow,Duke University,sw663,F,unkown,17,4,30,0,60
Swamp sparrow,Duke University,sw658,F,unkown,18,4,30,20,40
Swamp sparrow,Duke University,sw666,F,unkown,19,4,20,0,40
Swamp sparrow,Duke University,sw667,F,unkown,20,4,20,0,40
Swamp sparrow,Duke University,sw669,F,unkown,21,4,70,60,80
Swamp sparrow,Duke University,sw668,F,unkown,22,4,10,0,20
Swamp sparrow,Duke University,sw659,F,unkown,23,4,40,40,40
Western scrub jay,University of Cambridge,Scrub223,F,4,1,5,70,60,80
Western scrub jay,University of Cambridge,Scrub224,F,4,2,5,80,100,60
Western scrub jay,University of Cambridge,Scrub222,M,4,3,5,100,100,100
Western scrub jay,University of Cambridge,Scrub201,M,4,4,5,60,40,80
Western scrub jay,University of Cambridge,Scrub203,UNKOWN,4,5,4,60,60,60
Western scrub jay,University of Cambridge,Scrub229,UNKNOWN,4,6,4,90,80,100
White Carneau Pigeon,University of Kentucky,10742,11,M,1,4,0,0,0
White Carneau Pigeon,University of Kentucky,22642,6,M,2,4,20,20,20
White Carneau Pigeon,University of Kentucky,17878,6,M,3,4,20,20,20
White Carneau Pigeon,University of Kentucky,19854,6,M,4,4,10,20,0
White Carneau Pigeon,University of Kentucky,19306,6,M,5,4,20,20,20
White Carneau Pigeon,University of Kentucky,11746,6,M,6,4,70,100,40
White Carneau Pigeon,University of Kentucky,19227,6,M,7,4,60,60,60
White Carneau Pigeon,University of Kentucky,19845,6,M,8,4,60,20,100
White Carneau Pigeon,University of Kentucky,19824,6,M,9,4,70,40,100
White Carneau Pigeon,University of Kentucky,19276,6,M,10,4,0,0,0
White Carneau Pigeon,University of Kentucky,19849,6,M,11,4,40,20,60
White Carneau Pigeon,University of Kentucky,19338,6,M,12,4,20,20,20
Zebra Finch,Duke University,zf 105,M,Unknown,1,3,44.44444444444444,60,25
Zebra Finch,Duke University,zf 104,F,Unknown,2,3,44.44444444444444,40,50
Zebra Finch,Duke University,zf 102,M,Unknown,3,3,33.33333333333333,40,25
Zebra Finch,Duke University,zf 101,M,Unknown,4,4,44.44444444444444,20,75
Zebra Finch,Duke University,zf 100,M,Unknown,5,3,66.66666666666666,80,50
Zebra Finch,Duke University,zf 99,M,Unknown,6,3,66.66666666666666,60,75
Zebra Finch,Duke University,zf 98,F,Unknown,7,3,33.33333333333333,40,25
Zebra Finch,Duke University,zf 97,F,Unknown,8,3,66.66666666666666,60,75
Zebra Finch,Duke University,zf 96,M,Unknown,9,3,66.66666666666666,60,75
Zebra Finch,Duke University,zf 94,M,Unknown,10,3,33.33333333333333,40,25
Zebra Finch,Duke University,zf 91,M,Unknown,11,3,55.55555555555556,40,75
Zebra Finch,Duke University,zf 89,F,Unknown,12,3,77.77777777777779,80,75
Zebra Finch,Duke University,zf 88,F,Unknown,13,3,77.77777777777779,80,75
Zebra Finch,Duke University,zf 87,F,Unknown,14,3,55.55555555555556,60,50
Zebra Finch,Duke University,zf 85,M,Unknown,15,3,66.66666666666666,80,50
Zebra Finch,Duke University,zf 83,M,Unknown,16,5,44.44444444444444,40,50
Zebra Finch,Duke University,zf 82,F,Unknown,17,3,44.44444444444444,40,50
Zebra Finch,Duke University,zf 81,M,Unknown,18,3,33.33333333333333,40,25
Zebra Finch,Duke University,zf 80,F,Unknown,19,3,44.44444444444444,20,75
Zebra Finch,Duke University,zf 79,F,Unknown,20,3,66.66666666666666,60,75
Zebra Finch,Duke University,zf 75,M,Unknown,21,3,55.55555555555556,40,75
Zebra Finch,Duke University,zf 73,F,Unknown,22,4,55.55555555555556,40,75
Zebra Finch,Duke University,zf 71,F,Unknown,23,3,66.66666666666666,60,75
Zebra Finch,Duke University,zf 70,M,Unknown,24,3,44.44444444444444,40,50
Zebra Finch,Duke University,zf 68,F,Unknown,25,3,55.55555555555556,40,75
Zebra Finch,Duke University,zf 67,M,Unknown,26,3,55.55555555555556,60,50
Zebra Finch,Duke University,zf 66,M,Unknown,27,3,55.55555555555556,40,75
Zebra Finch,Duke University,zf 63,M,Unknown,28,3,33.33333333333333,20,50
Zebra Finch,Duke University,zf 62,F,Unknown,29,3,44.44444444444444,40,50
Zebra Finch,Duke University,zf 61,F,Unknown,30,3,33.33333333333333,20,50
Zebra Finch,Duke University,zf 58,M,Unknown,31,3,44.44444444444444,20,75
Zebra Finch,Duke University,zf 56,F,Unknown,32,3,44.44444444444444,40,50
Zebra Finch,Duke University,zf 55,F,Unknown,33,3,44.44444444444444,60,25
Zebra Finch,Duke University,zf 54,F,Unknown,34,3,66.66666666666666,60,75
Zebra Finch,Duke University,zf 53,F,Unknown,35,3,55.55555555555556,60,50
Zebra Finch,Duke University,zf 52,M,Unknown,36,3,44.44444444444444,40,50
Zebra Finch,Duke University,zf 51,F,Unknown,37,3,77.77777777777779,80,75
Zebra Finch,Duke University,zf 50,F,Unknown,38,3,55.55555555555556,40,75
Zebra Finch,Duke University,zf 49,M,Unknown,39,3,44.44444444444444,40,50
Zebra Finch,Duke University,zf47,M,Unknown,40,3,66.66666666666666,60,75
Zebra Finch,Duke University,zf 45,F,Unknown,41,3,33.33333333333333,20,50
Zebra Finch,Duke University,zf 44,F,Unknown,42,3,66.66666666666666,40,100
Zebra Finch,Duke University,zf 43,M,Unknown,43,3,44.44444444444444,40,50
Zebra Finch,Duke University,zf 42,F,Unknown,44,3,44.44444444444444,80,0
Zebra Finch,Duke University,zf 40,F,Unknown,45,3,55.55555555555556,60,50
Zebra Finch,Duke University,zf 38,M,Unknown,46,3,44.44444444444444,60,25
Zebra Finch,Duke University,zf 35,M,Unknown,47,3,55.55555555555556,60,50
