Species,Population,Name,Sex,Age,Subject #,Warmups,Test % Correct,1st Half % Correct,2nd Half % Correct
Coyote,"Logan Field Station, Utah",5.0999999999999996,M,3,6,3,100,100,100
Coyote,"Logan Field Station, Utah",5.2,F,3,7,3,90,80,100
Coyote,"Logan Field Station, Utah",5.3,M,6,8,3,100,100,100
Domestic Dog,Duke,Amber,F,6,1,5,80,60,100
Domestic Dog,Duke,Aspen,F,2,2,4,100,100,100
Domestic Dog,Duke,Astro,M,3,3,3,50,100,0
Domestic Dog,Duke,Bailey,M,7,4,5,70,60,80
Domestic Dog,Duke,Bender,M,1,5,4,100,100,100
Domestic Dog,Duke,Bonnie,F,9,6,5,70,60,80
Domestic Dog,Duke,Bowie,M,5,7,4,100,100,100
Domestic Dog,Duke,Buffy,F,6,8,6,50,60,40
Domestic Dog,Duke,Cassie,F,8,9,4,30,0,60
Domestic Dog,Duke,Cassie(2),F,8,10,5,20,20,20
Domestic Dog,Duke,Chewie,M,3,11,5,60,40,80
Domestic Dog,Duke,Chloe,F,1,12,5,90,100,80
Domestic Dog,Duke,Clara,F,8,13,4,100,100,100
Domestic Dog,Duke,Cricket,F,3,14,5,80,80,80
Domestic Dog,Duke,Dakota,F,3,15,4,90,100,80
Domestic Dog,Duke,Dallas,M,4,16,4,100,100,100
Domestic Dog,Duke,Dax,M,1,17,8,40,20,60
Domestic Dog,Duke,Diva,F,9,18,5,80,100,60
Domestic Dog,Duke,Ela,F,10,19,4,40,60,20
Domestic Dog,Duke,Ellie,F,2,20,7,100,100,100
Domestic Dog,Duke,Friday,M,7,21,11,30,20,40
Domestic Dog,Duke,Gertie,F,5,22,4,100,100,100
Domestic Dog,Duke,Ginger,F,3,23,5,100,100,100
Domestic Dog,Duke,Griffin,M,5,24,10,60,60,60
Domestic Dog,Duke,Gus,M,2,25,7,70,60,80
Domestic Dog,Duke,Harbor,M,4,26,7,60,60,60
Domestic Dog,Duke,Jada,F,4,27,7,100,100,100
Domestic Dog,Duke,Jimmy,M,7,28,4,60,40,80
Domestic Dog,Duke,Joey,M,7,29,6,90,100,80
Domestic Dog,Duke,Kali,F,9,30,7,30,40,20
Domestic Dog,Duke,Lily,F,10,31,6,100,100,100
Domestic Dog,Duke,Lucky,M,7,32,5,30,20,40
Domestic Dog,Duke,Ludo,M,2,33,4,90,80,100
Domestic Dog,Duke,Lula Belle,F,11,34,5,50,80,20
Domestic Dog,Duke,Mazie,F,7,35,5,100,100,100
Domestic Dog,Duke,Milo,M,1,36,5,50,40,60
Domestic Dog,Duke,Morgan,M,11,37,5,90,80,100
Domestic Dog,Duke,Murphy,M,2,38,4,100,100,100
Domestic Dog,Duke,Norman,M,4,39,4,90,80,100
Domestic Dog,Duke,Peanut,F,2,40,4,70,60,80
Domestic Dog,Duke,Poppy,F,6,41,7,60,40,80
Domestic Dog,Duke,Rex,M,8,42,5,90,80,100
Domestic Dog,Duke,Sadie,F,7,43,4,100,100,100
Domestic Dog,Duke,Sam,M,1,44,6,80,80,80
Domestic Dog,Duke,Spencer,M,7,45,5,90,80,100
Domestic Dog,Duke,Spike,M,4,46,4,100,100,100
Domestic Dog,Duke,Tiger,F,9,47,5,30,40,20
Domestic Dog,Duke,Turbo,M,2,48,5,60,40,80
Domestic Dog,Duke,Vespa,F,1,49,4,100,100,100
Domestic Dog,Duke,Wonton,M,4,50,5,50,60,40
Domestic Dog,Duke,Zen,M,5,51,5,60,60,60
Domestic Dog,Duke,Zep,M,5,52,5,100,100,100
Domestic Dog,Duke,Zephyr,M,3,53,4,100,100,100
Domestic Dog,Duke,Zoey,F,1,54,4,100,100,100
Domestic Dog,MPI,Mira,F,5,55,10,100,100,100
Domestic Dog,MPI,Guenni,M,1,56,4,100,100,100
Domestic Dog,MPI,Luna,F,7,57,4,100,100,100
Domestic Dog,MPI,Benji,M,6,58,4,90,80,100
Domestic Dog,MPI,Migo,M,2,59,5,100,100,100
Domestic Dog,MPI,Aimee,F,3,60,4,100,100,100
Domestic Dog,MPI,Sammy,M,8,61,4,90,80,100
Domestic Dog,MPI,Jazzy,F,3,62,4,100,100,100
Domestic Dog,MPI,Chiquita,F,2,63,5,100,100,100
Domestic Dog,MPI,Colin,M,2,64,4,100,100,100
Domestic Dog,MPI,Judy,F,2,65,4,100,100,100
Domestic Dog,MPI,Blue,M,3,66,6,100,100,100
Eurasian jay,University of Cambridge,Quito,M,4,1,4,60,40,80
Eurasian jay,University of Cambridge,Ohorougu,F,3,2,5,40,60,20
Eurasian jay,University of Cambridge,Wilson,M,3,3,5,20,20,20
Eurasian jay,University of Cambridge,Hoy,M,3,4,4,100,100,100
Eurasian jay,University of Cambridge,Hunter,F,3,5,4,60,60,60
Eurasian jay,University of Cambridge,Romero,M,3,6,5,70,60,80
Fox squirrel,UC Berkeley,Cal,F,Unkown,1,7,90,100,80
Fox squirrel,UC Berkeley,Missi,Unkown,Unkown,2,7,50,20,80
