Species,Pop,Sex,Sub_no.,Warmups,Test_percent_correct,first_corr,second_corr
Domestic Dog,Duke,F,30,7,30,40,20
Domestic Dog,Duke,F,31,6,100,100,100
Domestic Dog,Duke,M,32,5,30,20,40
Domestic Dog,Duke,M,33,4,90,80,100
Domestic Dog,Duke,F,34,5,50,80,20
Domestic Dog,Duke,F,35,5,100,100,100
Domestic Dog,Duke,M,36,5,50,40,60
Domestic Dog,Duke,M,37,5,90,80,100
Domestic Dog,Duke,M,38,4,100,100,100
Domestic Dog,Duke,M,39,4,90,80,100
Domestic Dog,Duke,F,40,4,70,60,80
Domestic Dog,Duke,F,41,7,60,40,80
Domestic Dog,Duke,M,42,5,90,80,100
Domestic Dog,Duke,F,43,4,100,100,100
Domestic Dog,Duke,M,44,6,80,80,80
Domestic Dog,Duke,M,45,5,90,80,100
Domestic Dog,Duke,M,46,4,100,100,100
Domestic Dog,Duke,F,47,5,30,40,20
Domestic Dog,Duke,M,48,5,60,40,80
Domestic Dog,Duke,F,49,4,100,100,100
Domestic Dog,Duke,M,50,5,50,60,40
Domestic Dog,Duke,M,51,5,60,60,60
Domestic Dog,Duke,M,52,5,100,100,100
Domestic Dog,Duke,M,53,4,100,100,100
Domestic Dog,Duke,F,54,4,100,100,100
Domestic Dog,MPI,F,55,10,100,100,100
Domestic Dog,MPI,M,56,4,100,100,100
Domestic Dog,MPI,F,57,4,100,100,100
Domestic Dog,MPI,M,58,4,90,80,100
Domestic Dog,MPI,M,59,5,100,100,100
Domestic Dog,MPI,F,60,4,100,100,100
Domestic Dog,MPI,M,61,4,90,80,100
Domestic Dog,MPI,F,62,4,100,100,100
Domestic Dog,MPI,F,63,5,100,100,100
Domestic Dog,MPI,M,64,4,100,100,100
Domestic Dog,MPI,F,65,4,100,100,100
Domestic Dog,MPI,M,66,6,100,100,100
Eurasian jay,University of Cambridge,M,1,4,60,40,80
Eurasian jay,University of Cambridge,F,2,5,40,60,20
Eurasian jay,University of Cambridge,M,3,5,20,20,20
Eurasian jay,University of Cambridge,M,4,4,100,100,100
Eurasian jay,University of Cambridge,F,5,4,60,60,60
Eurasian jay,University of Cambridge,M,6,5,70,60,80
Fox squirrel,UC Berkeley,F,1,7,90,100,80
Fox squirrel,UC Berkeley,Unkown,2,7,50,20,80
Fox squirrel,UC Berkeley,Unkown,3,4,70,60,80
Fox squirrel,UC Berkeley,F,4,9,30,20,40
Fox squirrel,UC Berkeley,Unkown,5,4,80,60,100
Fox squirrel,UC Berkeley,F,6,4,80,80,80
Fox squirrel,UC Berkeley,U,7,5,50,60,40
Fox squirrel,UC Berkeley,F,8,5,80,80,80
Fox squirrel,UC Berkeley,F,9,4,90,80,100
Fox squirrel,UC Berkeley,F,10,4,60,40,80
Fox squirrel,UC Berkeley,M,11,4,100,100,100
Fox squirrel,UC Berkeley,M,12,10,40,60,20
Fox squirrel,UC Berkeley,U,13,5,50,60,40
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,M,1,4,30,0,60
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,M,2,4,100,100,100
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,F,3,4,100,100,100
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,F,4,4,10,20,0
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,F,5,4,90,80,100
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,F,6,4,80,100,60
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,F,7,4,70,60,80
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,F,8,4,50,20,80
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,M,9,4,70,40,100
Golden-headed lion tamarin,Laboratorio Tropical de Primatologia,F,10,4,30,20,40
Golden monkey,Beijing Wildlife Park,M,1,4,40,40,40
Golden monkey,Beijing Wildlife Park,F,2,4,10,0,20
Golden monkey,Beijing Wildlife Park,M,3,7,0,0,0
Golden monkey,Beijing Wildlife Park,F,4,9,80,60,100
Golden monkey,Beijing Wildlife Park,F,5,4,40,20,60
Golden monkey,Beijing Wildlife Park,F,6,4,60,20,100
Golden monkey,Beijing Wildlife Park,M,7,8,50,60,40
Golden monkey,Beijing Wildlife Park,F,8,5,0,0,0
Gorilla,MPI - Leipzig,F,1,4,100,100,100
Gorilla,MPI - Leipzig,F,2,4,100,100,100
Gorilla,MPI - Leipzig,F,3,4,80,100,60
Gorilla,National Zoo,M,4,5,100,100,100
Gorilla,National Zoo,F,5,4,90,80,100
Gorilla,National Zoo,F,6,5,90,100,80
Gorilla,National Zoo,M,7,4,90,100,80
Gorilla,National Zoo,M,8,5,100,100,100
Gorilla,National Zoo,F,9,4,100,100,100
Gray wolf,Wolf Science Center,M,1,4,90,100,80
Gray wolf,Wolf Science Center,M,2,4,70,60,80
Gray wolf,Wolf Science Center,M,3,4,90,80,100
Gray wolf,Wolf Science Center,F,4,4,90,80,100
Gray wolf,Wolf Science Center,M,5,4,100,100,100
Gray wolf,Wolf Science Center,F,6,6,50,0,100
Gray wolf,Wolf Science Center,M,7,8,20,20,20
Gray wolf,Wolf Science Center,F,8,4,70,60,80
Gray wolf,Wolf Science Center,M,9,14,80,80,80
Gray wolf,Wolf Science Center,M,10,4,100,100,100
Gray wolf,Wolf Science Center,M,11,4,90,100,80
Hamadryus baboon,North Carolina Zoo,M,1,5,100,100,100
Hamadryus baboon,North Carolina Zoo,M,2,4,90,80,100
Hamadryus baboon,North Carolina Zoo,M,3,5,60,20,100
Hamadryus baboon,North Carolina Zoo,F,4,6,0,0,0
Hamadryus baboon,North Carolina Zoo,F,5,4,50,20,80
Hamadryus baboon,North Carolina Zoo,M,6,6,100,100,100
Hamadryus baboon,North Carolina Zoo,M,7,7,90,100,80
Hamadryus baboon,North Carolina Zoo,F,8,5,20,0,40
Hamadryus baboon,North Carolina Zoo,F,9,4,100,100,100
Marmoset,University of Zurich,M,1,10,11.11111111,0,25
Marmoset,University of Zurich,M,2,4,30,20,40
Marmoset,University of Zurich,M,3,4,60,80,40
Marmoset,University of Zurich,M,4,5,0,0,0
Marmoset,University of Zurich,F,5,5,20,0,40
Marmoset,University of Zurich,F,6,4,40,60,20
Marmoset,University of Zurich,F,7,4,50,40,60
Marmoset,University of Zurich,F,8,11,30,0,60
Marmoset,University of Zurich,F,9,4,90,80,100
Marmoset,University of Zurich,F,10,4,20,0,40
Marmoset,University of Zurich,M,11,4,0,0,0
Mongolian gerbil,UC Berkeley,F,1,5,50,40,60
Mongolian gerbil,UC Berkeley,M,2,4,60,60,60
Mongolian gerbil,UC Berkeley,M,3,4,50,40,60
Mongolian gerbil,UC Berkeley,F,4,15,60,40,80
Mongolian gerbil,UC Berkeley,F,5,5,80,100,60
Mongolian gerbil,UC Berkeley,M,6,5,70,80,60
Mongolian gerbil,UC Berkeley,M,7,5,90,100,80
Mongolian gerbil,UC Berkeley,F,8,4,90,80,100
Mongolian gerbil,UC Berkeley,F,9,5,77.77777778,60,100
Mongolian gerbil,UC Berkeley,F,10,4,70,40,100
Mongolian gerbil,UC Berkeley,F,11,10,60,60,60
Mongoose lemur,Duke Lemur Center,F,1,10,30,0,60
Mongoose lemur,Duke Lemur Center,F,2,4,30,0,60
Mongoose lemur,Duke Lemur Center,M,3,4,40,20,60
Mongoose lemur,Duke Lemur Center,M,4,4,90,80,100
Mongoose lemur,Duke Lemur Center,M,5,4,70,60,80
Mongoose lemur,Duke Lemur Center,F,6,4,70,80,60
Mongoose lemur,Duke Lemur Center,M,7,4,70,60,80
Mongoose lemur,Duke Lemur Center,F,8,5,100,100,100
Mongoose lemur,Duke Lemur Center,M,9,5,50,40,60
Mongoose lemur,Duke Lemur Center,F,10,6,40,0,80
Olive baboon,Seneca Park Zoo,M,1,4,70,60,80
Olive baboon,Seneca Park Zoo,M,2,5,90,100,80
Olive baboon,Seneca Park Zoo,M,3,10,70,80,60
Olive baboon,Seneca Park Zoo,F,4,4,80,80,80
Olive baboon,Seneca Park Zoo,F,5,5,70,40,100
Olive baboon,Seneca Park Zoo,F,6,6,80,100,60
Olive baboon,Seneca Park Zoo,F,7,5,60,80,40
Olive baboon,Seneca Park Zoo,F,8,4,90,80,100
Orange-winged Amazon,University of St. Andrews,M,1,4,40,20,60
Orange-winged Amazon,University of St. Andrews,M,2,4,50,60,40
Orange-winged Amazon,University of St. Andrews,M,3,4,50,60,40
Orange-winged Amazon,University of St. Andrews,M,4,5,40,60,20
Orange-winged Amazon,University of St. Andrews,F,5,9,40,40,40
Orange-winged Amazon,University of St. Andrews,M,6,5,50,20,80
Orange-winged Amazon,University of St. Andrews,M,7,4,40,0,80
Orange-winged Amazon,University of St. Andrews,F,8,5,70,80,60
Orange-winged Amazon,University of St. Andrews,F,9,4,70,80,60
Orange-winged Amazon,University of St. Andrews,F,10,5,50,40,60
Orange-winged Amazon,University of St. Andrews,M,11,5,40,0,80
Orange-winged Amazon,University of St. Andrews,M,12,5,70,60,80
Orangutan,MPI - Leipzig,F,1,4,100,100,100
Orangutan,MPI - Leipzig,F,2,4,100,100,100
Orangutan,MPI - Leipzig,F,3,4,100,100,100
Orangutan,MPI - Leipzig,F,4,4,100,100,100
Orangutan,MPI - Leipzig,F,5,4,100,100,100
Orangutan,National Zoo,F,6,7,100,100,100
Orangutan,National Zoo,F,7,4,100,100,100
Orangutan,National Zoo,M,8,4,100,100,100
Orangutan,National Zoo,F,9,4,100,100,100
Orangutan,National Zoo,F,10,4,100,100,100
Orangutan,National Zoo,M,11,5,90,100,80
Red-bellied lemur,Duke Lemur Center,F,1,5,80,80,80
Red-bellied lemur,Duke Lemur Center,F,2,7,80,60,100
Red-bellied lemur,Duke Lemur Center,M,3,22,90,80,100
Red-bellied lemur,Duke Lemur Center,F,4,6,20,0,40
