Species,Pop.x,Sex.x,Sub_no..x,Warmups,Test_percent_correct,1st_corr,2nd_corr,Pop.y,Sex.y,Sub_no..y,Trials,Accuracy
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,7,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,8,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,9,3,0
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,10,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,11,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,12,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,13,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,14,3,0
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,15,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,16,3,0
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,17,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,18,3,1
Capuchin,Yale University,F,21,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,19,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,M,20,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,M,21,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,M,22,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,M,23,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,F,24,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,F,25,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,F,26,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,F,27,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,F,28,3,1
Capuchin,Yale University,F,21,4,100,100,100,Yale University,F,29,9,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,1,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,2,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,3,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,4,3,0
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,5,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,6,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,7,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,8,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,9,3,0
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,10,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,11,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,12,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,13,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,14,3,0
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,15,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,F,16,3,0
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,17,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,18,3,1
Capuchin,Yale University,F,22,10,90,100,80,Institute of Cognitive Sciences and Technologies,M,19,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,M,20,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,M,21,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,M,22,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,M,23,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,F,24,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,F,25,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,F,26,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,F,27,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,F,28,3,1
Capuchin,Yale University,F,22,10,90,100,80,Yale University,F,29,9,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,F,1,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,F,2,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,F,3,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,F,4,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,F,5,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,F,6,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,M,7,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,North Carolina Zoo,F,8,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,North Carolina Zoo,F,9,6,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,North Carolina Zoo,M,10,3,0
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,North Carolina Zoo,M,11,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,North Carolina Zoo,M,12,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,North Carolina Zoo,F,13,3,1
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,North Carolina Zoo,F,14,9,0
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100,North Carolina Zoo,M,15,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,MPI-Leipzig,F,1,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,MPI-Leipzig,F,2,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,MPI-Leipzig,F,3,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,MPI-Leipzig,F,4,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,MPI-Leipzig,F,5,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,MPI-Leipzig,F,6,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,MPI-Leipzig,M,7,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,North Carolina Zoo,F,8,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,North Carolina Zoo,F,9,6,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,North Carolina Zoo,M,10,3,0
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,North Carolina Zoo,M,11,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,North Carolina Zoo,M,12,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,North Carolina Zoo,F,13,3,1
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,North Carolina Zoo,F,14,9,0
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100,North Carolina Zoo,M,15,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,MPI-Leipzig,F,1,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,MPI-Leipzig,F,2,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,MPI-Leipzig,F,3,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,MPI-Leipzig,F,4,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,MPI-Leipzig,F,5,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,MPI-Leipzig,F,6,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,MPI-Leipzig,M,7,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,North Carolina Zoo,F,8,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,North Carolina Zoo,F,9,6,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,North Carolina Zoo,M,10,3,0
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,North Carolina Zoo,M,11,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,North Carolina Zoo,M,12,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,North Carolina Zoo,F,13,3,1
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,North Carolina Zoo,F,14,9,0
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100,North Carolina Zoo,M,15,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,F,1,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,F,2,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,F,3,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,F,4,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,F,5,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,F,6,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,M,7,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,North Carolina Zoo,F,8,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,North Carolina Zoo,F,9,6,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,North Carolina Zoo,M,10,3,0
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,North Carolina Zoo,M,11,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,North Carolina Zoo,M,12,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,North Carolina Zoo,F,13,3,1
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,North Carolina Zoo,F,14,9,0
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100,North Carolina Zoo,M,15,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,MPI-Leipzig,F,1,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,MPI-Leipzig,F,2,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,MPI-Leipzig,F,3,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,MPI-Leipzig,F,4,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,MPI-Leipzig,F,5,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,MPI-Leipzig,F,6,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,MPI-Leipzig,M,7,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,North Carolina Zoo,F,8,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,North Carolina Zoo,F,9,6,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,North Carolina Zoo,M,10,3,0
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,North Carolina Zoo,M,11,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,North Carolina Zoo,M,12,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,North Carolina Zoo,F,13,3,1
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,North Carolina Zoo,F,14,9,0
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100,North Carolina Zoo,M,15,3,1
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75,Duke Lemur Center,M,10,3,0
Coyote,"Logan Field Station, Utah",F,1,3,100,100,100,NA,NA,NA,NA,NA
Coyote,"Logan Field Station, Utah",M,2,5,70,80,60,NA,NA,NA,NA,NA
Coyote,"Logan Field Station, Utah",F,3,3,100,100,100,NA,NA,NA,NA,NA
Coyote,"Logan Field Station, Utah",M,4,3,100,100,100,NA,NA,NA,NA,NA
Coyote,"Logan Field Station, Utah",F,5,3,100,100,100,NA,NA,NA,NA,NA
Coyote,"Logan Field Station, Utah",M,6,3,100,100,100,NA,NA,NA,NA,NA
Coyote,"Logan Field Station, Utah",F,7,3,90,80,100,NA,NA,NA,NA,NA
Coyote,"Logan Field Station, Utah",M,8,3,100,100,100,NA,NA,NA,NA,NA
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,1,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,2,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,3,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,4,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,5,9,0
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,6,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,7,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,8,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,9,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,10,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,11,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,12,3,0
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,13,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,14,3,0
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,15,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,16,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,17,3,0
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,18,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,19,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,20,3,0
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,21,3,0
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,22,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,23,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,24,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,25,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,26,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,27,6,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,28,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,29,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,30,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,31,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,32,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,33,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,34,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,35,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,36,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,37,3,0
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,38,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,39,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,40,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,41,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,42,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,43,6,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,44,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,45,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,46,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,47,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,48,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,49,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,50,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,51,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,52,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,M,53,3,1
Domestic Dog,Duke,F,1,5,80,60,100,Duke,F,54,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,F,55,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,M,56,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,M,57,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,F,58,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,M,59,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,M,60,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,F,61,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,F,62,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,F,63,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,M,64,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,F,65,3,1
Domestic Dog,Duke,F,1,5,80,60,100,MPI,M,66,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,1,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,2,3,1
