Species,Pop.x,Sex.x,Sub_no..x,Warmups,Test_percent_correct,1st_corr,2nd_corr,Pop.y,Sex.y,Sub_no..y,Trials,Accuracy
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100,Yale University,M,22,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100,Yale University,M,23,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100,Yale University,F,24,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100,Yale University,F,25,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100,Yale University,F,26,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100,Yale University,F,27,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100,Yale University,F,28,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100,Yale University,F,29,9,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,1,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,2,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,3,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,4,3,0
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,5,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,6,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,7,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,8,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,9,3,0
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,10,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,11,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,12,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,13,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,14,3,0
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,15,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,F,16,3,0
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,17,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,18,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Institute of Cognitive Sciences and Technologies,M,19,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,M,20,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,M,21,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,M,22,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,M,23,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,F,24,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,F,25,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,F,26,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,F,27,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,F,28,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100,Yale University,F,29,9,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,F,1,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,M,2,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,F,3,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,F,4,3,0
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,M,5,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,M,6,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,F,7,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,M,8,3,1
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60,Institute of Cognitive Sciences and Technologies,F,9,3,0
