Species,Population,Name,Sex,Age,Subject #,Test % Correct,1st Half % Correct,2nd Half % Correct,Trial_type,N_trials
Coquerel's sifaka,Duke Lemur Center,Tiberius,M,21.394520547945206,7,30,0,60,Warmups,5
Coquerel's sifaka,Duke Lemur Center,Matlida,F,1.7178082191780821,8,10,0,20,Warmups,9
Coquerel's sifaka,Duke Lemur Center,Lucius,M,3.4356164383561643,9,66.66666666666666,60,75,Warmups,4
Coquerel's sifaka,Duke Lemur Center,Marcus,M,5.5671232876712331,10,77.77777777777779,80,75,Warmups,5
Coyote,"Logan Field Station, Utah",3.1,F,3,1,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",3.2,M,6,2,70,80,60,Warmups,5
Coyote,"Logan Field Station, Utah",3.3,F,4,3,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",4.2,M,3,4,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",4.3,F,2,5,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",5.0999999999999996,M,3,6,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",5.2,F,3,7,90,80,100,Warmups,3
Coyote,"Logan Field Station, Utah",5.3,M,6,8,100,100,100,Warmups,3
Domestic Dog,Duke,Amber,F,6,1,80,60,100,Warmups,5
Domestic Dog,Duke,Aspen,F,2,2,100,100,100,Warmups,4
Domestic Dog,Duke,Astro,M,3,3,50,100,0,Warmups,3
Domestic Dog,Duke,Bailey,M,7,4,70,60,80,Warmups,5
Domestic Dog,Duke,Bender,M,1,5,100,100,100,Warmups,4
Domestic Dog,Duke,Bonnie,F,9,6,70,60,80,Warmups,5
Domestic Dog,Duke,Bowie,M,5,7,100,100,100,Warmups,4
Domestic Dog,Duke,Buffy,F,6,8,50,60,40,Warmups,6
Domestic Dog,Duke,Cassie,F,8,9,30,0,60,Warmups,4
Domestic Dog,Duke,Cassie(2),F,8,10,20,20,20,Warmups,5
Domestic Dog,Duke,Chewie,M,3,11,60,40,80,Warmups,5
Domestic Dog,Duke,Chloe,F,1,12,90,100,80,Warmups,5
Domestic Dog,Duke,Clara,F,8,13,100,100,100,Warmups,4
Domestic Dog,Duke,Cricket,F,3,14,80,80,80,Warmups,5
Domestic Dog,Duke,Dakota,F,3,15,90,100,80,Warmups,4
Domestic Dog,Duke,Dallas,M,4,16,100,100,100,Warmups,4
Domestic Dog,Duke,Dax,M,1,17,40,20,60,Warmups,8
Domestic Dog,Duke,Diva,F,9,18,80,100,60,Warmups,5
Domestic Dog,Duke,Ela,F,10,19,40,60,20,Warmups,4
Domestic Dog,Duke,Ellie,F,2,20,100,100,100,Warmups,7
Domestic Dog,Duke,Friday,M,7,21,30,20,40,Warmups,11
Domestic Dog,Duke,Gertie,F,5,22,100,100,100,Warmups,4
Domestic Dog,Duke,Ginger,F,3,23,100,100,100,Warmups,5
Domestic Dog,Duke,Griffin,M,5,24,60,60,60,Warmups,10
Domestic Dog,Duke,Gus,M,2,25,70,60,80,Warmups,7
Domestic Dog,Duke,Harbor,M,4,26,60,60,60,Warmups,7
Domestic Dog,Duke,Jada,F,4,27,100,100,100,Warmups,7
Domestic Dog,Duke,Jimmy,M,7,28,60,40,80,Warmups,4
Domestic Dog,Duke,Joey,M,7,29,90,100,80,Warmups,6
Domestic Dog,Duke,Kali,F,9,30,30,40,20,Warmups,7
Domestic Dog,Duke,Lily,F,10,31,100,100,100,Warmups,6
Domestic Dog,Duke,Lucky,M,7,32,30,20,40,Warmups,5
Domestic Dog,Duke,Ludo,M,2,33,90,80,100,Warmups,4
Domestic Dog,Duke,Lula Belle,F,11,34,50,80,20,Warmups,5
Domestic Dog,Duke,Mazie,F,7,35,100,100,100,Warmups,5
Domestic Dog,Duke,Milo,M,1,36,50,40,60,Warmups,5
Domestic Dog,Duke,Morgan,M,11,37,90,80,100,Warmups,5
Domestic Dog,Duke,Murphy,M,2,38,100,100,100,Warmups,4
Domestic Dog,Duke,Norman,M,4,39,90,80,100,Warmups,4
Domestic Dog,Duke,Peanut,F,2,40,70,60,80,Warmups,4
Domestic Dog,Duke,Poppy,F,6,41,60,40,80,Warmups,7
Domestic Dog,Duke,Rex,M,8,42,90,80,100,Warmups,5
Domestic Dog,Duke,Sadie,F,7,43,100,100,100,Warmups,4
Domestic Dog,Duke,Sam,M,1,44,80,80,80,Warmups,6
Domestic Dog,Duke,Spencer,M,7,45,90,80,100,Warmups,5
Domestic Dog,Duke,Spike,M,4,46,100,100,100,Warmups,4
Domestic Dog,Duke,Tiger,F,9,47,30,40,20,Warmups,5
Domestic Dog,Duke,Turbo,M,2,48,60,40,80,Warmups,5
Domestic Dog,Duke,Vespa,F,1,49,100,100,100,Warmups,4
Domestic Dog,Duke,Wonton,M,4,50,50,60,40,Warmups,5
Domestic Dog,Duke,Zen,M,5,51,60,60,60,Warmups,5
Domestic Dog,Duke,Zep,M,5,52,100,100,100,Warmups,5
