Species,Order,Mass_g,Mass_SD,N_neurons,N_neurons_SD,N_other,N_other_SD,Neurons_per_mg,Neurons_per_mg_SD,Other_per_mg,Other_per_mg_SD,Other_per_neuron,Other_per_neuron_SD,Source,Brain_area
Homo sapiens,Primata,1232.93,± 233.68,1634e7,"± 2,170,000,000",6084e7," ± 7,020,000,000",13520,"± 3,636",49230,"± 3,755",3.723,± 0.675,"Azevedo et al., 2009",cerebral_ctx
Hydrochoerus hydrochaeris,Glires,6.632,± 1.312,115781e4,"± 5,515,433",57094e4,"± 81,105,148",177982,"± 34,889",86574,"± 4,902",0.493,± 0.068,"Herculano-Houzel et al., 2006",cerebellum
Hydrochoerus hydrochaeris,Glires,19.927,± 0.270,10825e4,"± 4,400,000",77917e4,"± 381,900,000",5434,NA,39234,NA,NA,NA,"Herculano-Houzel et al., 2006",rest_of_brain
Hydrochoerus hydrochaeris,Glires,48.175,± 2.714,306501565,"± 62,726,120",1847818435,"± 512,392,109",6336,± 945,38117,"± 8,489",5.983,± 0.447,"Herculano-Houzel et al., 2006",cerebral_ctx
Loxodonta africana,Afrotheria,564.674,NA,741704844,NA,27404306156,NA,1314,NA,48531,NA,36.948,NA,"Herculano-Houzel et al., 2014",rest_of_brain
Loxodonta africana,Afrotheria,1171.628,NA,250708527536,NA,38507229964,NA,213983,NA,32866,NA,0.154,NA,"Herculano-Houzel et al., 2014",cerebellum
Loxodonta africana,Afrotheria,2847594,NA,5593241033,NA,55698998687,NA,1964,NA,52721,NA,26.844,NA,"Herculano-Houzel et al., 2014",cerebral_ctx
Macaca fascicularis,Primata,4.294,NA,65449620,NA,260170380,NA,15242,NA,60589,NA,3.975,NA,"Gabi et al., 2010",rest_of_brain
Macaca fascicularis,Primata,5.642,NA,25726e5,NA,1354e5,NA,455973,NA,23999,NA,0.053,NA,"Gabi et al., 2010",cerebellum
Macaca fascicularis,Primata,36.226,NA,800955e3,NA,2758845e3,NA,22110,NA,76156,NA,3.444,NA,"Gabi et al., 2010",cerebral_ctx
Macaca mulatta,Primata,7.694,NA,455e7,NA,93103e4,NA,590800,NA,121010,NA,0.205,NA,"Herculano-Houzel et al., 2007",cerebellum
Macaca mulatta,Primata,9.204,± 0.871,1219e5,NA,96652e4,NA,12410,NA,98420,NA,7.929,NA,"Herculano-Houzel et al., 2007",rest_of_brain
Macaca mulatta,Primata,69.832,NA,171e7,NA,527e7,NA,24470,NA,75400,NA,3.082,NA,"Herculano-Houzel et al., 2007",cerebral_ctx
Macaca radiata,Primata,5.748,NA,2038554160,NA,453565840,NA,354655,NA,78908,NA,0.222,NA,"Gabi et al., 2010",cerebellum
Macaca radiata,Primata,7.448,NA,61359e3,NA,616641e3,NA,8238,NA,82793,NA,10.05,NA,"Gabi et al., 2010",rest_of_brain
Macaca radiata,Primata,48.274,NA,1655707140,NA,3808672860,NA,34298,NA,78897,NA,2.3,NA,"Gabi et al., 2010",cerebral_ctx
Mesocricetus auratus,Glires,0.145,± 0.030,6121e4,"± 12,351,246",743e4,"± 1,713,108",424002,"± 3,743",51332,"± 1,054",0.121,NA,"Herculano-Houzel et al., 2006",cerebellum
Mesocricetus auratus,Glires,0.375,± 0.057,587e4,"± 1,162,059",2133e4,"± 8,878,857",15611,± 715,55804,"± 15,174",3.556,NA,"Herculano-Houzel et al., 2006",rest_of_brain
